,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,HEX,IEC,Neg Ctrl,,,NaN,0,0,NaN,NaN,0,0,60,
,A02,HEX,IEC,Unkn,,,3.43452867905901,3.43452867905901,0,NaN,NaN,NaN,0,60,
,A03,HEX,IEC,Unkn,,,1.57322404190697,1.57322404190697,0,NaN,NaN,NaN,0,60,
,A04,HEX,IEC,Unkn,,,3.37668896514126,3.37668896514126,0,NaN,NaN,NaN,0,60,
,A05,HEX,IEC,Unkn,,,1.10943055975223,1.10943055975223,0,NaN,NaN,NaN,0,60,
,A06,HEX,IEC,Unkn,,,2.91067964634073,2.91067964634073,0,NaN,NaN,NaN,0,60,
,A07,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A08,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A09,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A10,HEX,IEC,Pos Ctrl,,,NaN,0,0,NaN,NaN,0,0,60,
,A11,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,A12,HEX,IEC,Unkn,,,1.32344601127697,1.32344601127697,0,NaN,NaN,NaN,0,60,
,B01,HEX,IEC,Unkn,,,1.45722824677803,1.45722824677803,0,NaN,NaN,NaN,0,60,
,B02,HEX,IEC,Unkn,,,2.83622235044462,2.83622235044462,0,NaN,NaN,NaN,0,60,
,B03,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B04,HEX,IEC,Unkn,,,2.79449846363832,2.79449846363832,0,NaN,NaN,NaN,0,60,
,B05,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B06,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B07,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B08,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B09,HEX,IEC,Unkn,,,3.09230451568081,3.09230451568081,0,NaN,NaN,NaN,0,60,
,B10,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,B11,HEX,IEC,Unkn,,,2.6060522440852,2.6060522440852,0,NaN,NaN,NaN,0,60,
,B12,HEX,IEC,Unkn,,,3.39422878508007,3.39422878508007,0,NaN,NaN,NaN,0,60,
,C01,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C02,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C03,HEX,IEC,Unkn,,,1.23607060112297,1.23607060112297,0,NaN,NaN,NaN,0,60,
,C04,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C05,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C06,HEX,IEC,Unkn,,,1.04502594684962,1.04502594684962,0,NaN,NaN,NaN,0,60,
,C07,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C08,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C09,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,C10,HEX,IEC,Unkn,,,1.59517512747411,1.59517512747411,0,NaN,NaN,NaN,0,60,
,C11,HEX,IEC,Unkn,,,1.32891679857006,1.32891679857006,0,NaN,NaN,NaN,0,60,
,C12,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D01,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D02,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D03,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D04,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D05,HEX,IEC,Unkn,,,2.60166118696027,2.60166118696027,0,NaN,NaN,NaN,0,60,
,D06,HEX,IEC,Unkn,,,1.03748982571768,1.03748982571768,0,NaN,NaN,NaN,0,60,
,D07,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D08,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D09,HEX,IEC,Unkn,,,3.13415146302212,3.13415146302212,0,NaN,NaN,NaN,0,60,
,D10,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D11,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,D12,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E01,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E02,HEX,IEC,Unkn,,,1.42807462599769,1.42807462599769,0,NaN,NaN,NaN,0,60,
,E03,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E04,HEX,IEC,Unkn,,,1.24870151328407,1.24870151328407,0,NaN,NaN,NaN,0,60,
,E05,HEX,IEC,Unkn,,,3.04935821043132,3.04935821043132,0,NaN,NaN,NaN,0,60,
,E06,HEX,IEC,Unkn,,,3.43692629748855,3.43692629748855,0,NaN,NaN,NaN,0,60,
,E07,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E08,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,E09,HEX,IEC,Unkn,,,1.32147388641275,1.32147388641275,0,NaN,NaN,NaN,0,60,
,E10,HEX,IEC,Unkn,,,3.09975487941155,3.09975487941155,0,NaN,NaN,NaN,0,60,
,E11,HEX,IEC,Unkn,,,2.6966993808573,2.6966993808573,0,NaN,NaN,NaN,0,60,
,E12,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F01,HEX,IEC,Unkn,,,3.17379712139392,3.17379712139392,0,NaN,NaN,NaN,0,60,
,F02,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F03,HEX,IEC,Unkn,,,3.46252672786948,3.46252672786948,0,NaN,NaN,NaN,0,60,
,F04,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F05,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F06,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F07,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F08,HEX,IEC,Unkn,,,4.7763005067754,4.7763005067754,0,NaN,NaN,NaN,0,60,
,F09,HEX,IEC,Unkn,,,1.10363709119498,1.10363709119498,0,NaN,NaN,NaN,0,60,
,F10,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F11,HEX,IEC,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,F12,HEX,IEC,Unkn,,,1.00275966019968,1.00275966019968,0,NaN,NaN,NaN,0,60,
,G01,HEX,IEC,Unkn,,,1.5154705281586,1.5154705281586,0,NaN,NaN,NaN,0,60,
